run	index name	bool fields count	document count	base	percentage of true	disk space	query type	thread count	min terms	max terms	duration	queries run	queries with results	total results lower bound	error count	queries per second	percentage of queries that had results	average results per query	average query duration	<1	<2	<5	<10	<20	<50	<100	<200	<500	<1,000	<2,000	<5,000	<10,000	<20,000	>=20,000
101	test03	100	50,000,000	1.05	18.3	11,409,167,710	ALL	20	1	1	60,494	2,904	2,904	28,690,490	0	48	100.00	9,879.65	414				.03	.03	.07	.76	17.18	55.48	20.90	5.54				
102	test03	100	50,000,000	1.05	18.3	11,409,167,710	SOME	20	1	1	60,682	2,817	2,817	27,960,294	0	46	100.00	9,925.56	427				.19		.14	.46	15.87	54.81	23.15	5.57				
103	test03	100	50,000,000	1.05	18.3	11,409,167,710	NEGATE_ALL	20	1	1	60,053	0	0	0	20	0	NaN	NaN	NaN															
104	test03	100	50,000,000	1.05	18.3	11,409,167,710	NEGATE_ALL2	20	1	1	60,486	1,610	0	0	3	27	.00	.00	636									15.03	79.69	5.28				
105	test03	100	50,000,000	1.05	18.3	11,409,167,710	ALL	20	2	2	60,852	3,178	3,155	28,720,195	0	52	99.28	9,037.19	380						.22	.41	16.33	63.44	15.92	3.68	1.36			
106	test03	100	50,000,000	1.05	18.3	11,409,167,710	SOME	20	2	2	62,505	933	933	9,330,000	0	15	100.00	10,000.00	1,310						.11	.21	.21	2.89	34.30	47.37	14.90			
107	test03	100	50,000,000	1.05	18.3	11,409,167,710	NEGATE_ALL	20	2	2	60,066	0	0	0	20	0	NaN	NaN	NaN															
108	test03	100	50,000,000	1.05	18.3	11,409,167,710	NEGATE_ALL2	20	2	2	60,455	1,627	0	0	4	27	.00	.00	592									30.18	67.30	2.52				
109	test03	100	50,000,000	1.05	18.3	11,409,167,710	ALL	20	3	3	60,512	3,579	3,490	22,267,015	0	59	97.51	6,221.57	336		.03				.03	.42	15.37	71.36	11.37	1.42	.74			
110	test03	100	50,000,000	1.05	18.3	11,409,167,710	SOME	20	3	3	62,598	653	653	6,530,000	0	10	100.00	10,000.00	1,868						.15	.15	.15	.31	6.89	51.61	40.74			
111	test03	100	50,000,000	1.05	18.3	11,409,167,710	NEGATE_ALL	20	3	3	60,064	0	0	0	20	0	NaN	NaN	NaN															
